country;density;year
CAN;68,78;1966
CAF;37,623;1966
TCD;38,156;1966
CHI;68,293;1966
CHL;57,022;1966
CHN;49,992;1966
COL;57,777;1966
COM;42,39;1966
COD;41,092;1966
COG;50,435;1966
CRI;62,904;1966
CIV;39,619;1966
HRV;63,674;1966
CUB;66,079;1966
CYP;69,474;1966
CZE;67,18;1966
DNK;70,21;1966
DJI;45,354;1966
DOM;54,475;1966
ECU;54,873;1966
EGY;49,36;1966
SLV;50,901;1966
GNQ;37,034;1966
ERI;40,124;1966
EST;65,629;1966
ETH;40,155;1966
FJI;56,614;1966
FIN;65,96;1966
FRA;67,4;1966
PYF;57,031;1966
GAB;41,634;1966
GMB;33,542;1966
GEO;62,069;1966
DEU;67,488;1966
GHA;47,66;1966
GRC;67,416;1966
GRD;60,32;1966
GUM;61,96;1966
GTM;49,135;1966
GIN;34,806;1966
GNB;38,461;1966
GUY;58,908;1966
HTI;44,143;1966
HND;48,354;1966
HKG;66,475;1966
HUN;67,52;1966
ISL;70,32;1966
IND;45,679;1966
IDN;51,014;1966
IRN;48,431;1966
IRQ;55,403;1966
IRL;68,536;1966
ISR;70,91;1966
ITA;68,17;1966
JAM;65,531;1966
JPN;68,45;1966
JOR;56,574;1966
KAZ;55,712;1966
KEN;47,909;1966
KIR;50,18;1966
PRK;52,01;1966
KOR;54,726;1966
KWT;62,997;1966
KGZ;54,63;1966
LAO;43,502;1966
LVA;67;1966
LBN;63,27;1966
LSO;46,633;1966
LBR;35,124;1966
LBY;50,291;1966
LTU;68,13;1966
LUX;66,453;1966
MAC;65,508;1966
MKD;63,514;1966
MDG;41,936;1966
MWI;38,448;1966
MYS;61,731;1966
MDV;41,433;1966
MLI;29,09;1966
MLT;68,551;1966
MRT;46,352;1966
MUS;60,707;1966
MEX;57,722;1966
FSM;59,445;1966
MDA;60,515;1966
MNG;50,967;1966
MNE;65,794;1966
MAR;50,08;1966
MOZ;36,116;1966
MMR;45,364;1966
NAM;48,39;1966
NPL;37,927;1966
NLD;71,03;1966
NCL;58,6;1966
NZL;68,1;1966
NIC;49,573;1966
NER;35,003;1966
NGA;38,098;1966
NOR;71,41;1966
OMN;46,358;1966
PAK;50,171;1966
PAN;62,567;1966
PNG;43,73;1966
PRY;62,925;1966
